"System","O","R","CV*"
"vae",58,56.99999999999999,0.6330192324662557
"sep_ae",-6,1.4444444444444444,7.595151166117293
"lbow",-12,-13.444444444444445,1.650040583672383
"dips",-39,-45.0,10.313847839320886
