"system","values","sample size","mean","unbiased stdev","stdev 95% CI","CV*","original_unshifted","reproduced_unshifted","original_shifted","reproduced_shifted"
"vae","[158, 157.0]",2,157.5,0.8862269254527579,"[-4.18, 5.96]",0.6330192324662557,58,56.99999999999999,158,157.0
"sep_ae","[94, 101.44444444444444]",2,97.72222222222223,6.597467111703862,"[-31.14, 44.33]",7.595151166117293,-6,1.4444444444444444,94,101.44444444444444
"lbow","[88, 86.55555555555556]",2,87.27777777777777,1.2801055589873154,"[-6.04, 8.60]",1.650040583672383,-12,-13.444444444444445,88,86.55555555555556
"dips","[61, 55.0]",2,58.0,5.317361552716546,"[-25.10, 35.73]",10.313847839320886,-39,-45.0,61,55.0
